pipeline_name,Dataset,exit_code,numOfFiles
BIDS App - ndmg,SIMON-dataset,2,2
BIDS App - ndmg,,2,2
BIDS App - ndmg,SIMON-dataset,2,68
BIDS app example,SIMON-dataset,0,3
BIDS app example,SIMON-dataset,1,3
BIDS app example,SIMON-dataset,0,4
BIDS app example,SIMON-dataset,1,8
BIDS app example,,0,2
BIDS app example,,1,7
BIDS app example,SIMON-dataset,0,48
BIDS app example,SIMON-dataset,1,48
BIDS app example,SIMON-dataset,0,12
BIDS app example,SIMON-dataset,1,12
BIDS app example,SIMON-dataset,0,3502
BIDS app example,SIMON-dataset,1,3638
BIDS app example,SIMON-dataset,0,588
BIDS app example,SIMON-dataset,1,588
BIDS app example,SIMON-dataset,0,432
BIDS app example,SIMON-dataset,1,432
BIDS app example,,0,3
BIDS app example,,1,4
BIDS app example,SIMON-dataset,0,27
BIDS app example,SIMON-dataset,1,27
BIDS app example,SIMON-dataset,0,147
BIDS app example,SIMON-dataset,1,147
BIDS app example,,0,4
BIDS app example,,1,8
BIDS app example,,1,1
BrainExtraction,SIMON-dataset,0,3
BrainExtraction,SIMON-dataset,125,3
Dipy Deterministic Tracking,,0,1
Example Boutiques Tool,,0,2
Example Boutiques Tool,,0,1
Example Boutiques Tool,,0,4
FLIRT,,134,1
FLIRT,SIMON-dataset,0,2
FreeSurferPipelineBatch-CentOS7,,0,1
FreeSurferPipelineBatch-CentOS7,BigBrainHippoUnfold,0,1
MCFLIRT,visual-working-memory,0,1
MCFLIRT,BigBrain,0,1
MCFLIRT,BigBrain_3DClassifiedVolumes,0,1
MCFLIRT,BigBrain_3DSurfaces,0,1
MCFLIRT,,0,1
MCFLIRT,SIMON-dataset,0,1
fsl_bet,,0,1
fsl_bet,visual-working-memory,0,1
fsl_bet,BigBrain,0,1
fsl_bet,BigBrain_3DClassifiedVolumes,0,1
fsl_bet,BigBrain_3DSurfaces,0,1
fsl_bet,SIMON-dataset,0,1
fsl_fast,,1,1
fsl_fast,SIMON-dataset,0,1
fsl_fast,SIMON-dataset,1,2
fsl_fast,SIMON-dataset,1,1
fsl_first,,1,1
fsl_first,SIMON-dataset,1,1
fsl_first,SIMON-dataset,1,6
fslstats,visual-working-memory,0,1
fslstats,BigBrain,0,1
fslstats,BigBrain_3DClassifiedVolumes,0,1
fslstats,BigBrain_3DSurfaces,0,1
fslstats,,0,1
fslstats,,255,1
fslstats,SIMON-dataset,0,1
oneVoxel,,0,1
oneVoxel,SIMON-dataset,0,1
oneVoxel,,0,2
